No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
234,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230075,2023,1,Irna Penyakit Dalam,
235,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070,2023,1,Irna Penyakit Dalam,SYRINGE PUMP 4 BAIK
236,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196637,,1,Irna Penyakit Dalam,SISANYA RUSAK
237,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196632,,1,Irna Penyakit Dalam,
238,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196958,,1,Irna Penyakit Dalam,
239,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196639,,1,Irna Penyakit Dalam,
240,Tempat tidur Pasien,,,,,16,Irna Penyakit Dalam,TIDAK DI KALIBRASI
241,Tensi Meter,Regal,Clock Aneroid,20005180,2020,1,Irna Penyakit Dalam,Rusak (Manset Tensi Rusak)
242,Tensi Meter,,DM-500,151006059,2018,1,Irna Penyakit Dalam,Rusak (IPSRS)
243,Tensi Meter,,DM-500,151006152,2018,1,Irna Penyakit Dalam,Rusak (IPSRS)
244,Tensi Meter BIASA,Jziki,,2020 10052740,2025,1,Irna Penyakit Dalam,Baik 
245,Tensi Meter Digital,Fora P60,,0471989-3235142,2025,1,Irna Penyakit Dalam, Baik
246,Thermometer,HuBDic,FS-300,Y432406,2018,1,Irna Penyakit Dalam,Rusak
247,Thermometer,OneHealt,Infrared Forehead,XC22103106940,2023,1,Irna Penyakit Dalam,
248,Timbangan,Seca,,7621019008,2017,1,Irna Penyakit Dalam, Baik
249,Trolly Emergency,Mak,36603,,2011,1,Irna Penyakit Dalam,TIDAK DI KALIBRASI
250,Trolly Tindakan,,,,,3,Irna Penyakit Dalam,TIDAK DI KALIBRASI
251,Ambu Bag,Ambu,-,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
252,Ambu Bag,Greatcare,,,,3,Irna Perinatology,TIDAK DI KALIBRASI
253,Ambu Bag warna biru,,-,-,-,1,Irna Perinatology,TIDAK DI KALIBRASI
254,Ambu Bag warna hitam,,-,-,-,1,Irna Perinatology,TIDAK DI KALIBRASI
255,Bed dengan Bedrails,Paramount,-,-,,3,Irna Perinatology,TIDAK DI KALIBRASI
256,Bedside Cabinet,Paramount/ Tanpa merk,-,-,,,Irna Perinatology,TIDAK DI KALIBRASI
257,Box Bayi,Paramount,-,-,2007,5,Irna Perinatology,TIDAK DI KALIBRASI
258,Box Bayi,Tanpa merk,-,-,-,2,Irna Perinatology,TIDAK DI KALIBRASI
259,Box Bayi,GEA,-,-,-,5,Irna Perinatology,TIDAK DI KALIBRASI
260,CPAP,One Med,AD Series,SN 18037I045,2019,1,Irna Perinatology,
261,Fototherapi,Mediled,LED Phototherapy,SN 1861-12,2013,1,Irna Perinatology,
262,Fototherapi,Mediled,LED Phototherapy,SN 1856-12,2013,1,Irna Perinatology,FOTOTHERAPI 5 BAIK SISANYA RUSAK
263,Fototherapi,Atom,Phototherapy,SN 1692-777,2006,1,Irna Perinatology,
264,Fototherapi,Mediled,LED Phototherapy,SN 468-09,2013,1,Irna Perinatology,
265,Fototherapi,Medixe,Phototherapy PH1A,SN 40401109140,2009,1,Irna Perinatology,
266,Fototherapi,Mediled,Phototherapy PH1A,SN 40401109074,2009,1,Irna Perinatology,
267,Gunting perband,-,-,-,,1,Irna Perinatology,TIDAK DI KALIBRASI
268,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4001,2023,1,Irna Perinatology,BAIK
269,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4002,2023,1,Irna Perinatology,BAIK
270,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4003,2023,1,Irna Perinatology,Rusak
