Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Infrared Forehead,Onehealth,YHW-S,2016.07.EA16GC00113,,1,,,Irna Bedah,,BAIK,,,False,
,,Infus Pump,Precionmed,Accu Drip 10,❖ SANM094-23-002,2023,1,APBD 2023,28444448.0,Irna Bedah,,BAIK,,TERDATA,False,
,,Kasur Matras,-,,,,19,,,Irna Bedah,,BAIK,,,False,
,,Meja mayo/ Meja tindakan,Top,-,-,,2,,,Irna Bedah,,BAIK,,,False,
,,Mesin EKG 12 Lead,Heartscreen,Heart Screen 112C - 1,22239244,2023,1,DAK 2023,56000000.0,Irna Bedah,,BAIK,,,False,
,,"Minor Set GV terdiri dari (Gunting jaringan, pinset anatomi, pinset",-,,"Medicom, Hebu, Inox, BJB Unicef, Lawton",2018,,,,Irna Bedah,,BAIK,,,False,
,,Monitor lengkap,Dixion,1 Storm 5900-05,❖ 05/09/2205/5200,2023,2,,,Irna Bedah,,BAIK,,,False,
,,Mortir/Lumpang Obat,-,,,2022,1,,,Irna Bedah,,BAIK,,,False,
,,Neirbekken / Bengkok,-,,,,,,,Irna Bedah,,BAIK,,,False,
,,Pispot stainles,-,,,,,,,Irna Bedah,,BAIK,,,False,
,,Pulse oximeter,Bionet,Oxy 9 Wave,❖ 05/09/2205/5186,2023,2,,,Irna Bedah,,BAIK,,,False,
,,Regulator oksigen central,RMS,,,,18,,,Irna Bedah,,BAIK,,,False,
,,Sekerem,,,,,2,,,Irna Bedah,,BAIK,,,False,
,,Stetoskop dewasa,GEA,-,AD 000 123 0061,2017,2,,,Irna Bedah,,BAIK,,,False,
,,Tensimeter automatic dewasa,Confort fora,P60,11.32.00.07.03.2023.05.3,2025,1,,,Irna Bedah,,BAIK,,,False,
,,Termometer Digital,HuBDIC,FS-300,-,,1,,,Irna Bedah,,RUSAK BERAT,,,False,
,,Termometer Manual,Hexacare,-,-,,1,,,Irna Bedah,,BAIK,,,False,
,,Tiang infus roda,Mak,,,,11,,,Irna Bedah,,BAIK,,,False,
,,Tiang infus roda,Mak,,,,4,,,Irna Bedah,,RUSAK RINGAN,,,False,
,,Tiang infus tanpa roda,Mak,,,,4,,,Irna Bedah,,BAIK,,,False,
