No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
202,Urinal  plastik,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
203,USG 2 Dimensi,-,-,-,-,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
204,Ventilator Mobile,Imtmedical,-,-,2022,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
205,HRF,,,,,IGD JIWA,IGD JIWA,Baik,BELUM DIKALIBRASI,Belum ada data,
206,ECT,,,,,IGD JIWA,IGD JIWA,Baik,BELUM DIKALIBRASI,Belum ada data,
207,Ambu Bag,Ambu,Moretty,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
208,Ambu Bag,Greatcare,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
209,Ambu Bag,Greatcare,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
210,Ambu Bag,Greatcare,,-,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
211,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
212,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
213,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
214,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
215,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
216,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
217,Bed Anak,,YE680E,,,Irna Anak,Irna Anak,Baik,BELUM DIKALIBRASI,Belum ada data,
